#Raman_shift/cm-1          I_tot                 I_e                   I_h
 -1970.5        5.590172688850E-009   5.672555901903E-008   2.732214152032E-008
 -1970.4        5.592737869570E-009   5.675155153572E-008   2.733465184864E-008
 -1970.3        5.595304828594E-009   5.677756206844E-008   2.734717084739E-008
 -1970.2        5.597873567567E-009   5.680359063383E-008   2.735969852457E-008
 -1970.1        5.600444088137E-009   5.682963724860E-008   2.737223488821E-008
 -1970.0        5.603016391951E-009   5.685570192945E-008   2.738477994636E-008
 -1969.9        5.605590480663E-009   5.688178469310E-008   2.739733370707E-008
 -1969.8        5.608166355923E-009   5.690788555630E-008   2.740989617839E-008
 -1969.7        5.610744019387E-009   5.693400453581E-008   2.742246736839E-008
 -1969.6        5.613323472712E-009   5.696014164842E-008   2.743504728515E-008
 -1969.5        5.615904717557E-009   5.698629691093E-008   2.744763593676E-008
 -1969.4        5.618487755581E-009   5.701247034017E-008   2.746023333132E-008
 -1969.3        5.621072588449E-009   5.703866195297E-008   2.747283947692E-008
 -1969.2        5.623659217822E-009   5.706487176620E-008   2.748545438168E-008
 -1969.1        5.626247645370E-009   5.709109979674E-008   2.749807805373E-008
 -1969.0        5.628837872758E-009   5.711734606149E-008   2.751071050120E-008
 -1968.9        5.631429901659E-009   5.714361057737E-008   2.752335173224E-008
 -1968.8        5.634023733743E-009   5.716989336132E-008   2.753600175499E-008
 -1968.7        5.636619370686E-009   5.719619443030E-008   2.754866057762E-008
 -1968.6        5.639216814162E-009   5.722251380130E-008   2.756132820830E-008
 -1968.5        5.641816065850E-009   5.724885149130E-008   2.757400465522E-008
 -1968.4        5.644417127431E-009   5.727520751734E-008   2.758668992655E-008
 -1968.3        5.647020000585E-009   5.730158189644E-008   2.759938403051E-008
 -1968.2        5.649624686997E-009   5.732797464566E-008   2.761208697530E-008
 -1968.1        5.652231188352E-009   5.735438578210E-008   2.762479876913E-008
 -1968.0        5.654839506339E-009   5.738081532283E-008   2.763751942025E-008
 -1967.9        5.657449642646E-009   5.740726328499E-008   2.765024893689E-008
 -1967.8        5.660061598967E-009   5.743372968571E-008   2.766298732729E-008
 -1967.7        5.662675376993E-009   5.746021454214E-008   2.767573459971E-008
 -1967.6        5.665290978421E-009   5.748671787147E-008   2.768849076242E-008
 -1967.5        5.667908404949E-009   5.751323969089E-008   2.770125582370E-008
 -1967.4        5.670527658276E-009   5.753978001763E-008   2.771402979183E-008
 -1967.3        5.673148740103E-009   5.756633886891E-008   2.772681267511E-008
 -1967.2        5.675771652135E-009   5.759291626200E-008   2.773960448185E-008
 -1967.1        5.678396396076E-009   5.761951221418E-008   2.775240522035E-008
 -1967.0        5.681022973634E-009   5.764612674274E-008   2.776521489894E-008
 -1966.9        5.683651386519E-009   5.767275986500E-008   2.777803352597E-008
 -1966.8        5.686281636442E-009   5.769941159831E-008   2.779086110977E-008
 -1966.7        5.688913725117E-009   5.772608196001E-008   2.780369765869E-008
 -1966.6        5.691547654258E-009   5.775277096749E-008   2.781654318111E-008
 -1966.5        5.694183425584E-009   5.777947863815E-008   2.782939768539E-008
 -1966.4        5.696821040814E-009   5.780620498941E-008   2.784226117992E-008
 -1966.3        5.699460501670E-009   5.783295003871E-008   2.785513367309E-008
 -1966.2        5.702101809875E-009   5.785971380351E-008   2.786801517330E-008
 -1966.1        5.704744967154E-009   5.788649630128E-008   2.788090568897E-008
 -1966.0        5.707389975235E-009   5.791329754953E-008   2.789380522851E-008
 -1965.9        5.710036835847E-009   5.794011756579E-008   2.790671380037E-008
 -1965.8        5.712685550723E-009   5.796695636759E-008   2.791963141299E-008
 -1965.7        5.715336121596E-009   5.799381397250E-008   2.793255807480E-008
 -1965.6        5.717988550200E-009   5.802069039809E-008   2.794549379429E-008
 -1965.5        5.720642838275E-009   5.804758566198E-008   2.795843857992E-008
 -1965.4        5.723298987559E-009   5.807449978179E-008   2.797139244016E-008
 -1965.3        5.725956999795E-009   5.810143277516E-008   2.798435538352E-008
 -1965.2        5.728616876726E-009   5.812838465976E-008   2.799732741850E-008
 -1965.1        5.731278620097E-009   5.815535545327E-008   2.801030855360E-008
 -1965.0        5.733942231658E-009   5.818234517340E-008   2.802329879734E-008
 -1964.9        5.736607713156E-009   5.820935383788E-008   2.803629815827E-008
 -1964.8        5.739275066346E-009   5.823638146446E-008   2.804930664492E-008
 -1964.7        5.741944292979E-009   5.826342807090E-008   2.806232426584E-008
 -1964.6        5.744615394814E-009   5.829049367500E-008   2.807535102959E-008
 -1964.5        5.747288373606E-009   5.831757829457E-008   2.808838694475E-008
 -1964.4        5.749963231118E-009   5.834468194743E-008   2.810143201990E-008
 -1964.3        5.752639969110E-009   5.837180465145E-008   2.811448626362E-008
 -1964.2        5.755318589348E-009   5.839894642449E-008   2.812754968453E-008
 -1964.1        5.757999093597E-009   5.842610728445E-008   2.814062229122E-008
 -1964.0        5.760681483626E-009   5.845328724924E-008   2.815370409234E-008
 -1963.9        5.763365761206E-009   5.848048633681E-008   2.816679509649E-008
 -1963.8        5.766051928108E-009   5.850770456510E-008   2.817989531234E-008
 -1963.7        5.768739986109E-009   5.853494195210E-008   2.819300474852E-008
 -1963.6        5.771429936983E-009   5.856219851581E-008   2.820612341371E-008
 -1963.5        5.774121782511E-009   5.858947427424E-008   2.821925131658E-008
 -1963.4        5.776815524473E-009   5.861676924545E-008   2.823238846580E-008
 -1963.3        5.779511164653E-009   5.864408344749E-008   2.824553487008E-008
 -1963.2        5.782208704834E-009   5.867141689844E-008   2.825869053811E-008
 -1963.1        5.784908146805E-009   5.869876961642E-008   2.827185547861E-008
 -1963.0        5.787609492355E-009   5.872614161955E-008   2.828502970030E-008
 -1962.9        5.790312743275E-009   5.875353292598E-008   2.829821321191E-008
 -1962.8        5.793017901359E-009   5.878094355388E-008   2.831140602220E-008
 -1962.7        5.795724968402E-009   5.880837352144E-008   2.832460813991E-008
